NUMBER,YEAR,AUTHOR,TITLE,SPECIES,TAXA,WILDLIFE,REPRO,PCARE,SEQUENCING,DESIGN,FUNCTION,ENVIRON,PHEN,MOM_REGION,O_REGION,OVERLAP,SHANNON,OTU,PCOA,BC,UNIFRAC,PERMANOVA,NOTES,,,,,,
71,2021,"Green, Emily A.; Smedley, Scott R.; Klassen, Jonathan L.",North American Fireflies Host Low Bacterial Diversity,Ellychnia corrusca,Invertebrate,Y,Oviparous,N,Illumina Miseq,Observational,N,N,N,Multiple regions,Whole egg,N,Y,N,Y,N,Y,Y,Could not specify which adult laid egg so maternal ID was not included in the model; collected from adult (male and female) whole tissue and guts; overlap between egg and adult microbiomes were not clear,,,,,,
72,2021,"Hall, H. N.; Wilkinson, D. J.; Le Bon, M.",Oregano essential oil improves piglet health and performance through maternal feeding and is associated with changes in the gut microbiota,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,Y,Fecal,Fecal,Y,Y,N,Y,Y,N,Y,Used unweighted Unifrac and ASVs,,,,,,
73,2021,"Haque, Manjurul; Koski, Kristine G.; Scott, Marilyn E.",A gastrointestinal nematode in pregnant and lactating mice alters maternal and neonatal microbiomes,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,N,Multiple regions,Stomach,Y,Y,Y,N,N,Y,Y,"Collected from amternal intestine, vagina, and milk; sampled offspring over time; looked at Greengenes and SILVA database",,,,,,
74,2021,"Hebert, Jenna C.; Radford-Smith, Daniel E.; Probert, Fay; Ilott, Nicholas; Chan, Ka Wai; Anthony, Daniel C.; Burnet, Philip W. J.",Mom's diet matters: Maternal prebiotic intake in mice reduces anxiety and alters brain gene expression and the fecal microbiome in offspring,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,N,N,Y,Y,N,Y,"Did not technically collect from mothers of offspring, but sampled mothers of a different experiment (""Fecal DNA was extracted for 16S sequencing from F0 animals from Cohort B and C and F1 animals from Cohort A""); used Chao1 for alpha diversity",,,,,,
75,2021,"Hummel, Gwendolynn; Woodruff, Kelly; Austin, Kathleen; Knuth, Ryan; Lake, Scott; Cunningham-Hollinger, Hannah",Late Gestation Maternal Feed Restriction Decreases Microbial Diversity of the Placenta While Mineral Supplementation Improves Richness of the Fetal Gut Microbiome in Cattle,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,Y,Multiple regions,Multiple regions,Y,Y,N,Y,N,Y,Y,Collected from vagina/placenta of mothers and rumen fluid/meconium of offspring,,,,,,
76,2021,"Kemp, Keri M.; Colson, Jackson; Lorenz, Robin G.; Maynard, Craig L.; Pollock, Jennifer S.",Early life stress in mice alters gut microbiota independent of maternal microbiota inheritance,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,Y,Fecal,Gut,Y,N,N,N,N,N,Y,Used PCA and ANCOM for beta diversity,,,,,,
77,2021,"Law, Kayla; Lozinski, Brigit; Torres, Ivanellis; Davison, Samuel; Hilbrands, Adrienne; Nelson, Emma; Parra-Suescun, Jaime; Johnston, Lee; Gomez, Andres",Disinfection of Maternal Environments Is Associated with Piglet Microbiome Composition from Birth to Weaning,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,Y,Y,Multiple regions,Multiple regions,N,Y,N,Y,Y,N,Y,"Collected from vaginal, milk, skin, and gut microbiomes in mothers and gut and nasal cavity of offspring over time; did not explicity state overlap in maternal/offspring microbiota",,,,,,
78,2021,"Liu, Bo; Song, Changyou; Gao, Qiang; Liu, Bo; Zhou, Qunlan; Sun, Cunxin; Zhang, Huimin; Liu, Mingyang; Tadese, Dawit Adisu",Maternal and environmental microbes dominate offspring microbial colonization in the giant freshwater prawn Macrobrachium rosenbergii,Macrobrachium rosenbergii,Invertebrate,Y,Other,N,Illumina Miseq,Observational,N,Y,N,Multiple regions,Multiple regions,Y,Y,Y,Y,N,N,N,"Collected from hepatopancreas,  intestine, and gonads of egg-carrying females and zoea-carrying females as well as whole eggs (fertilized) and whole body of offspring",,,,,,
79,2021,"Luehrmann, Anja; Ovadenko, Ksenia; Hellmich, Justinus; Sudendey, Christoph; Belik, Vitaly; Zentek, Juergen; Vahjen, Wilfried",Characterization of the fecal microbiota of sows and their offspring from German commercial pig farms,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Fecal,Fecal,Y,Y,N,N,Y,N,N,Collected feces from sows and piglets at various time points across multiple farms,,,,,,
80,2021,"Mika, Katelyn; Okamoto, Alexander S.; Shubin, Neil H.; Mark Welch, David B.",Bacterial community dynamics during embryonic development of the little skate (Leucoraja erinacea),Leucoraja erinacea,Fish,Y,Oviparous,N,Illumina Miseq,Observational,N,Y,N,Multiple regions,Multiple regions,Y,Y,N,Y,Y,N,Y,"""Adult females were not directly associated with any particular egg capsule used in this study but were all sexually mature, housed in the MRC breeding tanks, and thus serve as representative, potential mothers."" Collected from gill and skin of adults and egg swab and internal fluid. ",,,,,,
81,2021,"Miyoshi, Jun; Miyoshi, Sawako; Delmont, Tom O.; Cham, Candace; Lee, Sonny T. M.; Sakatani, Aki; Yang, Karen; Shan, Yue; Kennedy, Megan; Kiefl, Evan; Yousef, Mahmoud; Crosson, Sean; Sogin, Mitchell; Antonopoulos, Dionysios A.; Eren, A. Murat; Leone, Vanessa; Chang, Eugene B.",Early-Life Microbial Restitution Reduces Colitis Risk Promoted by Antibiotic-Induced Gut Dysbiosis in Interleukin 10(-/-) Mice,Mus musculus,Mammal,N,Viviparous,Y,Illumina Hiseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,N,Y,N,Y,Y,Used ASVs; did not appear to use Bray-Curtis,,,,,,
82,2021,"Nishino, Takanori; Hosokawa, Takahiro; Meng, Xian-Ying; Koga, Ryuichi; Moriyama, Minoru; Fukatsu, Takema","Environmental Acquisition of Gut Symbiotic Bacteria in the Saw-toothed Stinkbug, Megymenum gracilicorne (Hemiptera: Pentatomoidea: Dinidoridae)",Megymenum gracilicorne,Invertebrate,Y,Oviparous,N,Illumina Miseq,Experimental,N,N,Y,Gut,Multiple regions,Y,N,N,N,N,N,N,"Collected whole egg (fertilized) and whole body of nymphs; did not use QIIME or any other commonly used analyses for 16S sequnces (data were collected, but appear to not be reported in article; see Table S3); some stinkbugs exhibit parental care, but could not find any resources for this species",,,,,,
83,2021,"Owens, Connor E.; Huffard, Haley G.; Nin-Velez, Alexandra; Duncan, Jane; Teets, Chrissy L.; Daniels, Kristy M.; Ealy, Alan D.; James, Robert E.; Knowlton, Katharine F.; Cockrum, Rebecca R.",Microbiomes of Various Maternal Body Systems Are Predictive of Calf Digestive Bacterial Ecology,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Multiple regions,Fecal,Y,Y,Y,N,N,Y,Y,"Collected vaginal fluid,  fecal, oral, colostrum, and placenta samples from mothers; collected fecal samples from calves at various time points; used Spearman's rank correlation between maternal and offspring sources; used a principle coordinate scatter plot (same as a PCoA?)",,,,,,
84,2021,"Su, Junhao; Duan, Xinhao; Qiu, Yu; Zhou, Lixiao; Zhang, Hongyang; Gao, Min; Liu, Yijun; Zou, Zhen; Qiu, Jingfu; Chen, Chengzhi",Pregnancy exposure of titanium dioxide nanoparticles causes intestinal dysbiosis and neurobehavioral impairments that are not significant postnatally but emerge in adulthood of offspring,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,N,Y,Y,Y,N,N,N,Collected fecal samples at various time points; did RNA-seq on brain tissue for gut-brain peptides,,,,,,
85,2021,"Wang, Weilan; Nettleton, Jodi E.; Gänzle, Michael G.; Reimer, Raylene A.",A Metagenomics Investigation of Intergenerational Effects of Non-nutritive Sweeteners on Gut Microbiome,Rattus norvegicus,Mammal,N,Viviparous,Y,Illumina Novaseq,Experimental,Y,N,Y,Gut,Gut,Y,N,N,Y,N,Y,N,"""Distal jejunum and ileum tissue samples, and cecal digesta were collected at terminate points of dams (at weaning) and offspring (at 3 and 18 weeks of age)""; used ANOSIM; used term ""sequence variants""; did not appear to measure alpha diversity ",,,,,,
86,2021,"Wu, Yujun; Zhang, Xiangyu; Pi, Yu; Han, Dandan; Feng, Cuiping; Zhao, Junying; Chen, Lijun; Che, Dongsheng; Bao, Hongxing; Xie, Zhengjun; Wang, Junjun","Maternal galactooligosaccharides supplementation programmed immune defense, microbial colonization and intestinal development in piglets",Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,Y,Y,N,N,N,Used unweighted unifrac distances; analyzed funciton with PICRUSt software against the KEGG database; reported relative abundance of mom and offspring OTUs,,,,,,
87,2021,"Zhao, Feng; Guan, Suzhen; Fu, Youjuan; Wang, Kai; Liu, Zhihong; Ng, Tzi Bun",Lycium barbarum polysaccharide attenuates emotional injury of offspring elicited by prenatal chronic stress in rats via regulation of gut microbiota,Rattus norvegicus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,Y,Y,Y,N,N,"""The microorganisms in feces of mother and offspring was determined by the 16S rRNA V3-V4 region sequence in Illumina MiSeqPE300 sequencing technology.""; mentioned measured beta diversity but did not report results in the article and could not find supplementary material",,,,,,
88,2022,"Abdelhafiz, Yousri; Fernandes, Jorge M. O.; Donati, Claudio; Pindo, Massimo; Kiron, Viswanath",Intergenerational Transfer of Persistent Bacterial Communities in Female Nile Tilapia,Oreochromis niloticus,Fish,Y,Oviparous,Y,Illumina Miseq,Observational,N,N,N,Multiple regions,Multiple regions,Y,Y,N,Y,N,Y,Y,These fish are mouth brooders; sampled from the buccal caivty and intestine of maternal/offspring pairs,,,,,,
89,2022,"Abu, Yaa; Tao, Junyi; Dutta, Rajib; Yan, Yan; Vitari, Nicolas; Kolli, Udhghatri; Roy, Sabita",Brief Hydromorphone Exposure During Pregnancy Sufficient to Induce Maternal and Neonatal Microbial Dysbiosis,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,N,Gut,Multiple regions,Y,N,N,Y,N,Y,Y,Collected from intestine and stomach of offspring,,,,,,
90,2022,"Baldassarre, Laura; Ying, Hua; Reitzel, Adam; Franzenburgq, Soren; Fraune, Sebastian",Microbiota mediated plasticity promotes thermal adaptation in the sea anemone Nematostella vectensis,Nematostella vectensis,Invertebrate,Y,Other,N,Illumina Miseq,Experimental,Y,N,Y,Whole body,Whole body,Y,N,Y,Y,Y,Y,N,Used Chao1 and ANOSIM,,,,,,
91,2022,"Di Gesu, Claudia M.; Matz, Lisa M.; Bolding, Ian J.; Fultz, Robert; Hoffman, Kristi L.; Gammazza, Antonella Marino; Petrosino, Joseph F.; Buffington, Shelly A.",Maternal gut microbiota mediate intergenerational effects of high-fat diet on descendant social behavior,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,Y,Fecal,Fecal,Y,Y,Y,Y,N,Y,Y,Collected from F1 and F2 offspring,,,,,,
92,2022,"Giraud, Carolane; Callac, Nolwenn; Boulo, Viviane; Lam, Jean-Sebastien; Pham, Dominique; Selmaoui-Folcher, Nazha; Wabete, Nelly",The Active Microbiota of the Eggs and the Nauplii of the Pacific Blue Shrimp Litopenaeus stylirostris Partially Shaped by a Potential Vertical Transmission,Litopenaeus stylirostris,Invertebrate,Y,Oviparous,N,Illumina Hiseq,Observational,N,Y,N,Gonad,Multiple regions,Y,N,N,N,Y,N,N,"Fertilize eggs externally, but eggs remain on mothers abdomen until hatching; collected eggs and 'nauplii' (like larvae) of offspring; did RNA extraction (to evalulate active microbes), copied to DNA, then sequenced; used ASVs, Chao1, and Simpson; only compared venn diagrams and not PCoAs, NMDS, etc.",,,,,,
93,2022,"Grzeskowiak, Lukasz; Saliu, Eva-Maria; Martinez-Vallespin, Beatriz; Wessels, Anna Grete; Manner, Klaus; Vahjen, Wilfried; Zentek, Juergen",Fiber Composition in Sows' Diets Modifies Clostridioides difficile Colonization in Their Offspring,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Nextseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,N,N,N,N,N,Used ASVs; did not appear to analyze beta diversity,,,,,,
94,2022,"Harshaw, Christopher; Kojima, Sayuri; Wellman, Cara L.; Demas, Gregory E.; Morrow, Ardythe L.; Taft, Diana Hazard; Kenkel, William M.; Leffel, Joseph K.; Alberts, Jeffrey R.","Maternal antibiotics disrupt microbiome, behavior, and temperature regulation in unexposed infant mice",Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,Y,Fecal,Fecal,N,N,N,N,N,N,N,Did not appear to measure beta diversity; only used simpsons index; did not say what sequencing variant was used,,,,,,
95,2022,"Li, Dan-Dan; Li, Jin-Yang; Hu, Zu-Qing; Liu, Tong-Xian; Zhang, Shi-Ze","Fall Armyworm Gut Bacterial Diversity Associated with Different Developmental Stages, Environmental Habitats, and Diets",Spodoptera frugiperda,Invertebrate,Y,Oviparous,N,Illumina Miseq,Experimental,N,N,N,Gut,Multiple regions,Y,Y,Y,Y,Y,Y,Y,"Collected guts from different larval timepoints and from eggs; used PICRUSt, but not on hatchling samples; used ANOSIM and PERMANOVA",,,,,,
96,2022,"Li, Teng; Yang, Yang; Li, Huijun; Li, Chunkai",Mixed-Mode Bacterial Transmission via Eggshells in an Oviparous Reptile Without Parental Care,Mauremys reevesii,Reptile,Y,Oviparous,N,Illumina Miseq,Observational,N,Y,N,Multiple regions,Eggshell,Y,Y,Y,N,Y,Y,Y,"Collected from maternal cloaca and skin; collected from nest soil, surface soil, and pond water; used an NMDS",,,,,,
97,2022,"Qi, Yuli; Yu, Leilei; Tian, Fengwei; Zhao, Jianxin; Zhang, Hao; Chen, Wei; Zhai, Qixiao",A. muciniphila Supplementation in Mice during Pregnancy and Lactation Affects the Maternal Intestinal Microenvironment,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,Y,Y,Y,N,Y,"Collected fecal pellets for metabolomics; used ""permutation test"" and assumed PERMANOVA; did not state OTU or ASV, assumed OTU",,,,,,
98,2022,"Unzueta-Martínez, Andrea; Scanes, Elliot; Parker, Laura M.; Ross, Pauline M.; O’Connor, Wayne; Bowen, Jennifer L.",Microbiomes of the Sydney Rock Oyster are acquired through both vertical and horizontal transmission,Saccostrea glomerata,Invertebrate,Y,Other,N,Illumina Miseq,Observational,N,Y,N,Multiple regions,Multiple regions,Y,N,N,N,N,N,Y,"""Sampled adult tissues (mantle, gill, stomach, gonad, eggs or sperm), larvae (D-veliger, umbo, eyed pediveliger, and spat), and the surrounding environment (water and algae feed)""; used ASVs, NMDS, Sorensen-Dice dissimilarities; did not measure alpha diversity",,,,,,
99,2022,"van Veelen, H. Pieter J.; Salles, Joana Falcão; Matson, Kevin D.; van Doorn, G. Sander; van der Velde, Marco; Tieleman, B. Irene",The microbial environment modulates non-genetic maternal effects on egg immunity,Taeniopygia guttata,Bird,Y,Oviparous,Y,Illumina Miseq,Experimental,N,Y,Y,Cloaca,Eggshell,Y,N,N,Y,Y,Y,N,Collected from soil; used ASVs; examined egg immune indices in model; used distance-based redundancy analysis (db-RDA); does not appear to have analyzed alpha diversity on maternal/offspring samples,,,,,,
100,2022,"Wang, Cheng; Wei, Siyu; Liu, Bojing; Wang, Fengqin; Lu, Zeqing; Jin, Mingliang; Wang, Yizhen",Maternal consumption of a fermented diet protects offspring against intestinal inflammation by regulating the gut microbiota,Multiple species,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,N,Y,Y,Y,N,N,Used pigs originally then transplanted microbiome into mice; used PICRUSt; used ANOSIM and unweighted unifrac for beta diversity and Chao1 for alpha diversity,,,,,,
101,2022,"Wei, Yan; Chang, Lijia; Liu, Guoqi; Wang, Xingming; Yang, Yong; Hashimoto, Kenji",Long-lasting beneficial effects of maternal intake of sulforaphane glucosinolate on gut microbiota in adult offspring,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,Y,Y,Y,Y,N,"Used an ANOSIM; did not explicitly state ""Illumina miseq""",,,,,,
102,2022,"Woodruff, Kelly L.; Hummel, Gwendolynn L.; Austin, Kathleen J.; Lake, Scott L.; Cunningham-Hollinger, Hannah C.",Calf rumen microbiome from birth to weaning and shared microbial properties to the maternal rumen microbiome,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,Y,N,N,Rumen fluid,Multiple regions,Y,Y,N,Y,Y,Y,N,"Collected from offspring meconium and rumen fluid (over time); used gas liquid chromatography to characterize volatile fatty acids (VFS) profiles; used ASVs (did not explicitly state, but mentioned in conclusions); did not state which statistic used for calculating beta diversity significance: ""Statistical significance was considered when the adjusted P-value (q), which adjusts for false discovery rate (FDR) using Benjamini-Hochberg correction, was q ≤ 0.05 (Benjamini and Hochberg, 1995).""",,,,,,
103,2022,"Xue, Cunxi; Xie, Qinyuan; Zhang, Chenhong; Hu, Yimeng; Song, Xiaoting; Jia, Yifan; Shi, Xiaoyang; Chen, Yiqi; Liu, Yalei; Zhao, Lingyun; Huang, Fenglian; Yuan, Huijuan",Vertical transmission of the gut microbiota influences glucose metabolism in offspring of mice with hyperglycaemia in pregnancy,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,N,Y,N,N,N,"Used ASVs, Jaccard distances and Kruskal-Wallis test for beta diversity",,,,,,
104,2022,"Yao, Zheng-Yu; Li, Xiao-Huan; Zuo, Li; Xiong, Qian; He, Wen-Ting; Li, Dong-Xu; Dong, Zhi-Fang",Maternal sleep deprivation induces gut microbial dysbiosis and neuroinflammation in offspring rats,Rattus norvegicus,Mammal,N,Viviparous,Y,Illumina Novaseq,Experimental,N,N,Y,Fecal,Gut,Y,Y,Y,Y,N,Y,N,Measured brain inflammation in offspring and considered this a phenotype; unclear how significance was determined for beta diversity,,,,,,
105,2022,"Zhao, Feng; Wang, Kai; Wen, Yujun; Chen, Xiaohui; Liu, Hongya; Qi, Faqiu; Fu, Youjuan; Zhu, Jiashu; Guan, Suzhen; Liu, Zhihong",Contribution of hippocampal BDNF/CREB signaling pathway and gut microbiota to emotional behavior impairment induced by chronic unpredictable mild stress during pregnancy in rats offspring,Rattus norvegicus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,Y,N,N,N,N,Used PICRUSt; did not appear to measure or report beta diversity,,,,,,
106,2022,"Zhao, Jidong; Lu, Wei; Huang, Shuli; Le Maho, Yvon; Habold, Caroline; Zhang, Zhibin","Impacts of Dietary Protein and Niacin Deficiency on Reproduction Performance, Body Growth, and Gut Microbiota of Female Hamsters (Tscherskia triton) and Their Offspring",Tscherskia triton,Mammal,Y,Viviparous,Y,Illumina Hiseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,N,Y,Y,N,Y,Used ASVs; routinely measured mass of mothers and offspring,,,,,,